时间, 温度
2025-01-09 16:07:59, 121.93
2025-01-09 16:07:59, 121.93
2025-01-09 16:08:00, 122.22
2025-01-09 16:08:00, 122.22
2025-01-09 16:08:00, 122.22
2025-01-09 16:08:00, 122.41
2025-01-09 16:08:00, 122.41
2025-01-09 16:08:00, 121.86
2025-01-09 16:08:00, 121.86
2025-01-09 16:08:00, 121.43
2025-01-09 16:08:00, 121.43
2025-01-09 16:08:00, 121.04
2025-01-09 16:08:00, 121.04
2025-01-09 16:08:00, 121.46
2025-01-09 16:08:00, 121.46
2025-01-09 16:08:00, 121.41
2025-01-09 16:08:00, 121.41
2025-01-09 16:08:00, 121.24
2025-01-09 16:08:00, 121.24
2025-01-09 16:08:00, 121.41
2025-01-09 16:08:00, 121.41
2025-01-09 16:08:00, 121.41
2025-01-09 16:08:00, 120.97
2025-01-09 16:08:00, 120.97
2025-01-09 16:08:00, 120.84
2025-01-09 16:08:00, 120.84
2025-01-09 16:08:00, 121.88
2025-01-09 16:08:00, 121.88
2025-01-09 16:08:00, 121.21
2025-01-09 16:08:00, 121.21
2025-01-09 16:08:00, 121.04
2025-01-09 16:08:00, 121.04
2025-01-09 16:08:00, 122.02
2025-01-09 16:08:00, 122.02
2025-01-09 16:08:00, 121.6
2025-01-09 16:08:00, 121.6
2025-01-09 16:08:00, 121.59
2025-01-09 16:08:00, 121.59
2025-01-09 16:08:00, 121.59
2025-01-09 16:08:01, 120.81
2025-01-09 16:08:01, 120.81
2025-01-09 16:08:01, 119.93
2025-01-09 16:08:01, 119.93
2025-01-09 16:08:01, 119.96
2025-01-09 16:08:01, 119.96
2025-01-09 16:08:01, 121.43
2025-01-09 16:08:01, 121.43
2025-01-09 16:08:01, 121.45
2025-01-09 16:08:01, 121.45
2025-01-09 16:08:01, 121.33
2025-01-09 16:08:01, 121.33
2025-01-09 16:08:01, 121.88
2025-01-09 16:08:01, 121.88
2025-01-09 16:08:01, 121.88
2025-01-09 16:08:01, 123.17
2025-01-09 16:08:01, 123.17
2025-01-09 16:08:01, 121.76
2025-01-09 16:08:01, 121.76
2025-01-09 16:08:01, 122.01
2025-01-09 16:08:01, 122.01
2025-01-09 16:08:01, 123.79
2025-01-09 16:08:01, 123.79
2025-01-09 16:08:01, 122.95
2025-01-09 16:08:01, 122.95
2025-01-09 16:08:01, 121.59
2025-01-09 16:08:01, 121.59
2025-01-09 16:08:01, 122.33
2025-01-09 16:08:01, 122.33
2025-01-09 16:08:01, 122.33
2025-01-09 16:08:01, 122.42
2025-01-09 16:08:01, 122.42
2025-01-09 16:08:01, 122.68
2025-01-09 16:08:01, 122.68
2025-01-09 16:08:01, 121.58
2025-01-09 16:08:01, 121.58
2025-01-09 16:08:01, 120.94
2025-01-09 16:08:02, 120.94
2025-01-09 16:08:02, 121.06
2025-01-09 16:08:02, 121.06
2025-01-09 16:08:02, 120.89
2025-01-09 16:08:02, 120.89
2025-01-09 16:08:02, 120.58
2025-01-09 16:08:02, 120.58
2025-01-09 16:08:02, 120.58
2025-01-09 16:08:02, 120.43
2025-01-09 16:08:02, 120.43
2025-01-09 16:08:02, 120.06
2025-01-09 16:08:02, 120.06
2025-01-09 16:08:02, 119.71
2025-01-09 16:08:02, 119.71
2025-01-09 16:08:02, 119.03
2025-01-09 16:08:02, 119.03
2025-01-09 16:08:02, 118.28
2025-01-09 16:08:02, 118.28
2025-01-09 16:08:02, 117.93
2025-01-09 16:08:02, 117.93
2025-01-09 16:08:02, 117.79
2025-01-09 16:08:02, 117.79
2025-01-09 16:08:02, 117.79
2025-01-09 16:08:02, 118.2
2025-01-09 16:08:02, 118.2
2025-01-09 16:08:02, 117.78
2025-01-09 16:08:02, 117.78
2025-01-09 16:08:02, 117.18
2025-01-09 16:08:02, 117.18
2025-01-09 16:08:02, 117.51
2025-01-09 16:08:02, 117.51
2025-01-09 16:08:02, 117.35
2025-01-09 16:08:02, 117.35
2025-01-09 16:08:02, 118.12
2025-01-09 16:08:02, 118.12
