时间, 温度
2025-01-09 18:01:46, 127.97
2025-01-09 18:01:46, 127.97
2025-01-09 18:01:46, 128.36
2025-01-09 18:01:46, 128.36
2025-01-09 18:01:46, 129.05
2025-01-09 18:01:46, 129.05
2025-01-09 18:01:46, 128.78
2025-01-09 18:01:46, 128.78
2025-01-09 18:01:46, 128.19
2025-01-09 18:01:46, 128.19
2025-01-09 18:01:46, 128.19
2025-01-09 18:01:46, 128.12
2025-01-09 18:01:46, 128.12
2025-01-09 18:01:46, 128.21
2025-01-09 18:01:46, 128.21
2025-01-09 18:01:46, 128.06
2025-01-09 18:01:46, 128.06
2025-01-09 18:01:46, 127.93
2025-01-09 18:01:46, 127.93
2025-01-09 18:01:46, 127.77
2025-01-09 18:01:46, 127.77
2025-01-09 18:01:46, 127.98
2025-01-09 18:01:47, 127.98
2025-01-09 18:01:47, 128.1
2025-01-09 18:01:47, 128.1
2025-01-09 18:01:47, 128.1
2025-01-09 18:01:47, 128.17
2025-01-09 18:01:47, 128.17
2025-01-09 18:01:47, 127.8
2025-01-09 18:01:47, 127.8
2025-01-09 18:01:47, 127.7
2025-01-09 18:01:47, 127.7
2025-01-09 18:01:47, 128.21
2025-01-09 18:01:47, 128.21
2025-01-09 18:01:47, 128.12
2025-01-09 18:01:47, 128.12
2025-01-09 18:01:47, 127.84
2025-01-09 18:01:47, 127.84
2025-01-09 18:01:47, 127.65
2025-01-09 18:01:47, 127.65
2025-01-09 18:01:47, 127.64
2025-01-09 18:01:47, 127.64
2025-01-09 18:01:47, 128.46
2025-01-09 18:01:47, 128.46
2025-01-09 18:01:47, 128.95
2025-01-09 18:01:47, 128.95
2025-01-09 18:01:47, 128.95
2025-01-09 18:01:47, 128.58
2025-01-09 18:01:47, 128.58
2025-01-09 18:01:47, 128.86
2025-01-09 18:01:47, 128.86
2025-01-09 18:01:47, 129.3
2025-01-09 18:01:47, 129.3
2025-01-09 18:01:47, 128.94
2025-01-09 18:01:47, 128.94
2025-01-09 18:01:47, 128.32
2025-01-09 18:01:47, 128.32
2025-01-09 18:01:47, 127.77
2025-01-09 18:01:47, 127.77
2025-01-09 18:01:48, 127.8
2025-01-09 18:01:48, 127.8
2025-01-09 18:01:48, 127.43
2025-01-09 18:01:48, 127.43
2025-01-09 18:01:48, 127.43
2025-01-09 18:01:48, 127.23
2025-01-09 18:01:48, 127.23
2025-01-09 18:01:48, 127.72
2025-01-09 18:01:48, 127.72
2025-01-09 18:01:48, 127.65
2025-01-09 18:01:48, 127.65
2025-01-09 18:01:48, 127.2
2025-01-09 18:01:48, 127.2
2025-01-09 18:01:48, 127.7
2025-01-09 18:01:48, 127.7
2025-01-09 18:01:48, 126.89
2025-01-09 18:01:48, 126.89
2025-01-09 18:01:48, 126.89
2025-01-09 18:01:48, 125.66
2025-01-09 18:01:48, 125.66
2025-01-09 18:01:48, 126.01
2025-01-09 18:01:48, 126.01
2025-01-09 18:01:48, 126.15
2025-01-09 18:01:48, 126.15
2025-01-09 18:01:48, 126.17
2025-01-09 18:01:48, 126.17
2025-01-09 18:01:48, 126.08
2025-01-09 18:01:48, 126.08
2025-01-09 18:01:48, 126.22
2025-01-09 18:01:48, 126.22
2025-01-09 18:01:48, 125.64
2025-01-09 18:01:48, 125.64
2025-01-09 18:01:48, 125.64
2025-01-09 18:01:48, 125.67
2025-01-09 18:01:48, 125.67
2025-01-09 18:01:48, 125.95
2025-01-09 18:01:49, 125.95
2025-01-09 18:01:49, 126.12
2025-01-09 18:01:49, 126.12
2025-01-09 18:01:49, 125.72
2025-01-09 18:01:49, 125.72
2025-01-09 18:01:49, 125.89
2025-01-09 18:01:49, 125.89
2025-01-09 18:01:49, 126.03
2025-01-09 18:01:49, 126.03
2025-01-09 18:01:49, 126.45
2025-01-09 18:01:49, 126.45
2025-01-09 18:01:49, 126.98
2025-01-09 18:01:49, 126.98
2025-01-09 18:01:49, 127.5
2025-01-09 18:01:49, 127.5
2025-01-09 18:01:49, 127.5
2025-01-09 18:01:49, 126.72
2025-01-09 18:01:49, 126.72
2025-01-09 18:01:49, 127.19
2025-01-09 18:01:49, 127.19
2025-01-09 18:01:49, 127.05
2025-01-09 18:01:49, 127.05
2025-01-09 18:01:49, 125.94
2025-01-09 18:01:49, 125.94
2025-01-09 18:01:49, 126.54
2025-01-09 18:01:49, 126.54
2025-01-09 18:01:49, 125.96
2025-01-09 18:01:49, 125.96
2025-01-09 18:01:49, 124.76
2025-01-09 18:01:49, 124.76
2025-01-09 18:01:49, 125.14
2025-01-09 18:01:49, 125.14
2025-01-09 18:01:49, 125.14
2025-01-09 18:01:49, 125.35
2025-01-09 18:01:49, 125.35
2025-01-09 18:01:49, 124.49
2025-01-09 18:01:49, 124.49
2025-01-09 18:01:50, 125.22
2025-01-09 18:01:50, 125.22
2025-01-09 18:01:50, 125.88
2025-01-09 18:01:50, 125.88
2025-01-09 18:01:50, 125.48
2025-01-09 18:01:50, 125.48
2025-01-09 18:01:50, 124.66
2025-01-09 18:01:50, 124.66
2025-01-09 18:01:50, 125.13
2025-01-09 18:01:50, 125.13
2025-01-09 18:01:50, 125.13
2025-01-09 18:01:50, 124.54
2025-01-09 18:01:50, 124.54
2025-01-09 18:01:50, 124.18
2025-01-09 18:01:50, 124.18
2025-01-09 18:01:50, 125.18
2025-01-09 18:01:50, 125.18
2025-01-09 18:01:50, 125.67
2025-01-09 18:01:50, 125.67
2025-01-09 18:01:50, 124.32
2025-01-09 18:01:50, 124.32
2025-01-09 18:01:50, 125.47
2025-01-09 18:01:50, 125.47
2025-01-09 18:01:50, 125.47
2025-01-09 18:01:50, 125.56
2025-01-09 18:01:50, 125.56
2025-01-09 18:01:50, 125.26
2025-01-09 18:01:50, 125.26
