时间, 温度
2024-11-13 10:13:05, 19.65
2024-11-13 10:13:05, 19.65
2024-11-13 10:13:05, 19.5
2024-11-13 10:13:05, 19.5
2024-11-13 10:13:05, 19.66
2024-11-13 10:13:05, 19.66
2024-11-13 10:13:05, 19.54
2024-11-13 10:13:05, 19.54
2024-11-13 10:13:05, 19.72
2024-11-13 10:13:05, 19.72
2024-11-13 10:13:05, 19.93
2024-11-13 10:13:05, 19.93
2024-11-13 10:13:05, 19.93
2024-11-13 10:13:05, 20.11
2024-11-13 10:13:05, 20.11
2024-11-13 10:13:05, 19.18
2024-11-13 10:13:05, 19.18
2024-11-13 10:13:05, 19.59
2024-11-13 10:13:05, 19.59
2024-11-13 10:13:05, 19.37
2024-11-13 10:13:05, 19.37
2024-11-13 10:13:06, 19.12
2024-11-13 10:13:06, 19.12
2024-11-13 10:13:06, 19.41
2024-11-13 10:13:06, 19.41
2024-11-13 10:13:06, 19.54
2024-11-13 10:13:06, 19.54
2024-11-13 10:13:06, 19.43
2024-11-13 10:13:06, 19.43
2024-11-13 10:13:06, 19.43
2024-11-13 10:13:06, 19.42
2024-11-13 10:13:06, 19.42
2024-11-13 10:13:06, 19.36
2024-11-13 10:13:06, 19.36
2024-11-13 10:13:06, 19.77
2024-11-13 10:13:06, 19.77
2024-11-13 10:13:06, 20.0
2024-11-13 10:13:06, 20.0
2024-11-13 10:13:06, 19.49
2024-11-13 10:13:06, 19.49
2024-11-13 10:13:06, 19.37
2024-11-13 10:13:06, 19.37
2024-11-13 10:13:06, 19.21
2024-11-13 10:13:06, 19.21
2024-11-13 10:13:06, 19.21
2024-11-13 10:13:06, 19.63
2024-11-13 10:13:06, 19.63
2024-11-13 10:13:06, 19.25
2024-11-13 10:13:06, 19.25
2024-11-13 10:13:06, 19.15
2024-11-13 10:13:06, 19.15
2024-11-13 10:13:06, 19.18
2024-11-13 10:13:06, 19.18
2024-11-13 10:13:06, 20.08
2024-11-13 10:13:06, 20.08
2024-11-13 10:13:06, 19.42
2024-11-13 10:13:06, 19.42
2024-11-13 10:13:07, 19.17
2024-11-13 10:13:07, 19.17
2024-11-13 10:13:07, 19.17
2024-11-13 10:13:07, 19.51
2024-11-13 10:13:07, 19.51
2024-11-13 10:13:07, 19.37
2024-11-13 10:13:07, 19.37
2024-11-13 10:13:07, 19.35
2024-11-13 10:13:07, 19.35
2024-11-13 10:13:07, 19.34
2024-11-13 10:13:07, 19.34
2024-11-13 10:13:07, 19.18
2024-11-13 10:13:07, 19.18
2024-11-13 10:13:07, 19.55
2024-11-13 10:13:07, 19.55
2024-11-13 10:13:07, 19.69
2024-11-13 10:13:07, 19.69
2024-11-13 10:13:07, 19.1
2024-11-13 10:13:07, 19.1
2024-11-13 10:13:07, 19.82
2024-11-13 10:13:07, 19.82
2024-11-13 10:13:07, 19.82
2024-11-13 10:13:07, 19.67
2024-11-13 10:13:07, 19.67
2024-11-13 10:13:07, 19.53
2024-11-13 10:13:07, 19.53
2024-11-13 10:13:07, 19.58
2024-11-13 10:13:07, 19.58
2024-11-13 10:13:07, 19.5
2024-11-13 10:13:07, 19.5
2024-11-13 10:13:07, 19.93
2024-11-13 10:13:07, 19.93
2024-11-13 10:13:07, 19.41
2024-11-13 10:13:07, 19.41
2024-11-13 10:13:07, 19.23
2024-11-13 10:13:07, 19.23
2024-11-13 10:13:07, 19.18
2024-11-13 10:13:07, 19.18
2024-11-13 10:13:08, 19.18
2024-11-13 10:13:08, 19.51
2024-11-13 10:13:08, 19.51
2024-11-13 10:13:08, 19.66
2024-11-13 10:13:08, 19.66
2024-11-13 10:13:08, 20.01
2024-11-13 10:13:08, 20.01
2024-11-13 10:13:08, 19.02
2024-11-13 10:13:08, 19.02
2024-11-13 10:13:08, 19.47
2024-11-13 10:13:08, 19.47
2024-11-13 10:13:08, 19.42
2024-11-13 10:13:08, 19.42
2024-11-13 10:13:08, 19.31
2024-11-13 10:13:08, 19.31
2024-11-13 10:13:08, 19.31
2024-11-13 10:13:08, 19.47
2024-11-13 10:13:08, 19.47
2024-11-13 10:13:08, 19.15
2024-11-13 10:13:08, 19.15
2024-11-13 10:13:08, 19.02
2024-11-13 10:13:08, 19.02
2024-11-13 10:13:08, 19.13
2024-11-13 10:13:08, 19.13
2024-11-13 10:13:08, 19.88
2024-11-13 10:13:08, 19.88
2024-11-13 10:13:08, 19.15
2024-11-13 10:13:08, 19.15
2024-11-13 10:13:08, 19.57
2024-11-13 10:13:08, 19.57
2024-11-13 10:13:08, 19.57
2024-11-13 10:13:08, 19.84
2024-11-13 10:13:08, 19.84
2024-11-13 10:13:08, 19.37
2024-11-13 10:13:08, 19.37
2024-11-13 10:13:08, 19.34
2024-11-13 10:13:08, 19.34
2024-11-13 10:13:09, 19.19
2024-11-13 10:13:09, 19.19
2024-11-13 10:13:09, 19.56
2024-11-13 10:13:09, 19.56
2024-11-13 10:13:09, 19.52
2024-11-13 10:13:09, 19.52
2024-11-13 10:13:09, 19.49
2024-11-13 10:13:09, 19.49
2024-11-13 10:13:09, 19.49
2024-11-13 10:13:09, 18.97
2024-11-13 10:13:09, 18.97
2024-11-13 10:13:09, 19.65
2024-11-13 10:13:09, 19.65
2024-11-13 10:13:09, 19.77
2024-11-13 10:13:09, 19.77
2024-11-13 10:13:09, 19.45
2024-11-13 10:13:09, 19.45
2024-11-13 10:13:09, 19.62
2024-11-13 10:13:09, 19.62
2024-11-13 10:13:09, 19.21
2024-11-13 10:13:09, 19.21
2024-11-13 10:13:09, 19.27
2024-11-13 10:13:09, 19.27
2024-11-13 10:13:09, 19.27
2024-11-13 10:13:09, 19.12
2024-11-13 10:13:09, 19.12
2024-11-13 10:13:09, 19.24
2024-11-13 10:13:09, 19.24
2024-11-13 10:13:09, 19.01
2024-11-13 10:13:09, 19.01
2024-11-13 10:13:09, 20.14
2024-11-13 10:13:09, 20.14
2024-11-13 10:13:09, 19.22
2024-11-13 10:13:09, 19.22
2024-11-13 10:13:09, 19.22
2024-11-13 10:13:09, 19.22
2024-11-13 10:13:10, 19.79
2024-11-13 10:13:10, 19.79
2024-11-13 10:13:10, 19.79
2024-11-13 10:13:10, 19.62
2024-11-13 10:13:10, 19.62
2024-11-13 10:13:10, 19.24
2024-11-13 10:13:10, 19.24
2024-11-13 10:13:10, 20.01
2024-11-13 10:13:10, 20.01
2024-11-13 10:13:10, 19.09
2024-11-13 10:13:10, 19.09
2024-11-13 10:13:10, 19.73
2024-11-13 10:13:10, 19.73
2024-11-13 10:13:10, 19.35
2024-11-13 10:13:10, 19.35
2024-11-13 10:13:10, 19.32
2024-11-13 10:13:10, 19.32
2024-11-13 10:13:10, 19.32
2024-11-13 10:13:10, 18.91
2024-11-13 10:13:10, 18.91
2024-11-13 10:13:10, 19.45
2024-11-13 10:13:10, 19.45
2024-11-13 10:13:10, 19.89
2024-11-13 10:13:10, 19.89
2024-11-13 10:13:10, 19.39
2024-11-13 10:13:10, 19.39
2024-11-13 10:13:10, 18.88
2024-11-13 10:13:10, 18.88
2024-11-13 10:13:10, 19.3
2024-11-13 10:13:10, 19.3
2024-11-13 10:13:10, 19.53
2024-11-13 10:13:10, 19.53
2024-11-13 10:13:10, 19.38
2024-11-13 10:13:10, 19.38
2024-11-13 10:13:10, 19.38
2024-11-13 10:13:10, 19.87
2024-11-13 10:13:10, 19.87
2024-11-13 10:13:10, 19.27
2024-11-13 10:13:11, 19.27
2024-11-13 10:13:11, 19.73
2024-11-13 10:13:11, 19.73
2024-11-13 10:13:11, 19.53
2024-11-13 10:13:11, 19.53
2024-11-13 10:13:11, 19.62
2024-11-13 10:13:11, 19.62
2024-11-13 10:13:11, 19.36
2024-11-13 10:13:11, 19.36
2024-11-13 10:13:11, 19.12
2024-11-13 10:13:11, 19.12
2024-11-13 10:13:11, 19.12
2024-11-13 10:13:11, 19.4
2024-11-13 10:13:11, 19.4
2024-11-13 10:13:11, 18.93
2024-11-13 10:13:11, 18.93
2024-11-13 10:13:11, 19.1
2024-11-13 10:13:11, 19.1
2024-11-13 10:13:11, 19.05
2024-11-13 10:13:11, 19.05
2024-11-13 10:13:11, 19.54
2024-11-13 10:13:11, 19.54
2024-11-13 10:13:11, 19.95
2024-11-13 10:13:11, 19.95
2024-11-13 10:13:11, 19.64
2024-11-13 10:13:11, 19.64
2024-11-13 10:13:11, 19.61
2024-11-13 10:13:11, 19.61
2024-11-13 10:13:11, 19.61
2024-11-13 10:13:11, 19.58
2024-11-13 10:13:11, 19.58
2024-11-13 10:13:11, 19.27
2024-11-13 10:13:11, 19.27
2024-11-13 10:13:11, 19.09
2024-11-13 10:13:11, 19.09
2024-11-13 10:13:11, 19.26
2024-11-13 10:13:11, 19.26
2024-11-13 10:13:12, 19.94
2024-11-13 10:13:12, 19.94
2024-11-13 10:13:12, 19.39
2024-11-13 10:13:12, 19.39
2024-11-13 10:13:12, 19.43
2024-11-13 10:13:12, 19.43
2024-11-13 10:13:12, 19.43
2024-11-13 10:13:12, 20.31
2024-11-13 10:13:12, 20.31
2024-11-13 10:13:12, 19.83
2024-11-13 10:13:12, 19.83
2024-11-13 10:13:12, 19.08
2024-11-13 10:13:12, 19.08
2024-11-13 10:13:12, 19.41
2024-11-13 10:13:12, 19.41
2024-11-13 10:13:12, 19.47
2024-11-13 10:13:12, 19.47
2024-11-13 10:13:12, 19.43
2024-11-13 10:13:12, 19.43
2024-11-13 10:13:12, 19.2
2024-11-13 10:13:12, 19.2
2024-11-13 10:13:12, 19.2
2024-11-13 10:13:12, 19.43
2024-11-13 10:13:12, 19.43
2024-11-13 10:13:12, 19.52
2024-11-13 10:13:12, 19.52
2024-11-13 10:13:12, 19.48
2024-11-13 10:13:12, 19.48
2024-11-13 10:13:12, 19.24
2024-11-13 10:13:12, 19.24
2024-11-13 10:13:12, 19.45
2024-11-13 10:13:12, 19.45
2024-11-13 10:13:12, 19.62
2024-11-13 10:13:12, 19.62
2024-11-13 10:13:12, 19.56
2024-11-13 10:13:12, 19.56
2024-11-13 10:13:13, 19.35
2024-11-13 10:13:13, 19.35
2024-11-13 10:13:13, 19.3
2024-11-13 10:13:13, 19.3
2024-11-13 10:13:13, 19.44
2024-11-13 10:13:13, 19.44
2024-11-13 10:13:13, 19.71
2024-11-13 10:13:13, 19.71
2024-11-13 10:13:13, 19.71
2024-11-13 10:13:13, 19.42
2024-11-13 10:13:13, 19.42
2024-11-13 10:13:13, 18.9
2024-11-13 10:13:13, 18.9
2024-11-13 10:13:13, 19.28
2024-11-13 10:13:13, 19.28
2024-11-13 10:13:13, 19.36
2024-11-13 10:13:13, 19.36
2024-11-13 10:13:13, 19.32
2024-11-13 10:13:13, 19.32
2024-11-13 10:13:13, 19.72
2024-11-13 10:13:13, 19.72
2024-11-13 10:13:13, 19.65
2024-11-13 10:13:13, 19.65
2024-11-13 10:13:13, 19.72
2024-11-13 10:13:13, 19.72
2024-11-13 10:13:13, 19.53
2024-11-13 10:13:13, 19.53
2024-11-13 10:13:13, 19.33
2024-11-13 10:13:13, 19.33
2024-11-13 10:13:13, 19.78
2024-11-13 10:13:13, 19.78
2024-11-13 10:13:13, 19.78
2024-11-13 10:13:13, 19.08
2024-11-13 10:13:13, 19.08
2024-11-13 10:13:13, 19.55
2024-11-13 10:13:13, 19.55
2024-11-13 10:13:13, 19.3
2024-11-13 10:13:14, 19.3
2024-11-13 10:13:14, 19.47
2024-11-13 10:13:14, 19.47
2024-11-13 10:13:14, 19.41
2024-11-13 10:13:14, 19.41
2024-11-13 10:13:14, 19.38
2024-11-13 10:13:14, 19.38
2024-11-13 10:13:14, 19.47
2024-11-13 10:13:14, 19.47
2024-11-13 10:13:14, 19.47
2024-11-13 10:13:14, 18.98
2024-11-13 10:13:14, 18.98
2024-11-13 10:13:14, 19.62
2024-11-13 10:13:14, 19.62
2024-11-13 10:13:14, 19.75
2024-11-13 10:13:14, 19.75
2024-11-13 10:13:14, 19.55
2024-11-13 10:13:14, 19.55
2024-11-13 10:13:14, 19.35
2024-11-13 10:13:14, 19.35
2024-11-13 10:13:14, 19.34
2024-11-13 10:13:14, 19.34
2024-11-13 10:13:14, 19.57
2024-11-13 10:13:14, 19.57
2024-11-13 10:13:14, 19.44
2024-11-13 10:13:14, 19.44
2024-11-13 10:13:14, 18.8
2024-11-13 10:13:14, 18.8
2024-11-13 10:13:14, 19.14
2024-11-13 10:13:14, 19.14
2024-11-13 10:13:14, 19.14
2024-11-13 10:13:14, 19.23
2024-11-13 10:13:14, 19.23
2024-11-13 10:13:14, 19.16
2024-11-13 10:13:14, 19.16
2024-11-13 10:13:14, 19.3
2024-11-13 10:13:14, 19.3
2024-11-13 10:13:15, 19.67
2024-11-13 10:13:15, 19.67
2024-11-13 10:13:15, 19.37
2024-11-13 10:13:15, 19.37
2024-11-13 10:13:15, 19.17
2024-11-13 10:13:15, 19.17
2024-11-13 10:13:15, 19.56
2024-11-13 10:13:15, 19.56
2024-11-13 10:13:15, 19.56
2024-11-13 10:13:15, 19.67
2024-11-13 10:13:15, 19.67
2024-11-13 10:13:15, 19.19
2024-11-13 10:13:15, 19.19
2024-11-13 10:13:15, 19.64
2024-11-13 10:13:15, 19.64
2024-11-13 10:13:15, 19.69
2024-11-13 10:13:15, 19.69
2024-11-13 10:13:15, 19.66
2024-11-13 10:13:15, 19.66
2024-11-13 10:13:15, 19.5
2024-11-13 10:13:15, 19.5
2024-11-13 10:13:15, 19.55
2024-11-13 10:13:15, 19.55
2024-11-13 10:13:15, 19.55
2024-11-13 10:13:15, 19.28
2024-11-13 10:13:15, 19.28
2024-11-13 10:13:15, 19.48
2024-11-13 10:13:15, 19.48
2024-11-13 10:13:15, 19.48
2024-11-13 10:13:15, 19.48
2024-11-13 10:13:15, 19.21
2024-11-13 10:13:15, 19.21
2024-11-13 10:13:15, 19.17
2024-11-13 10:13:15, 19.17
2024-11-13 10:13:15, 18.94
2024-11-13 10:13:15, 18.94
2024-11-13 10:13:16, 19.42
2024-11-13 10:13:16, 19.42
2024-11-13 10:13:16, 19.25
2024-11-13 10:13:16, 19.25
2024-11-13 10:13:16, 19.88
2024-11-13 10:13:16, 19.88
2024-11-13 10:13:16, 19.72
2024-11-13 10:13:16, 19.72
2024-11-13 10:13:16, 19.47
2024-11-13 10:13:16, 19.47
2024-11-13 10:13:16, 19.25
2024-11-13 10:13:16, 19.25
2024-11-13 10:13:16, 19.25
2024-11-13 10:13:16, 19.4
2024-11-13 10:13:16, 19.4
2024-11-13 10:13:16, 19.74
2024-11-13 10:13:16, 19.74
2024-11-13 10:13:16, 19.54
2024-11-13 10:13:16, 19.54
2024-11-13 10:13:16, 19.32
2024-11-13 10:13:16, 19.32
2024-11-13 10:13:16, 19.7
2024-11-13 10:13:16, 19.7
2024-11-13 10:13:16, 18.93
2024-11-13 10:13:16, 18.93
2024-11-13 10:13:16, 19.74
2024-11-13 10:13:16, 19.74
2024-11-13 10:13:16, 19.74
2024-11-13 10:13:16, 18.92
2024-11-13 10:13:16, 18.92
2024-11-13 10:13:16, 19.06
2024-11-13 10:13:16, 19.06
2024-11-13 10:13:16, 19.21
2024-11-13 10:13:16, 19.21
2024-11-13 10:13:16, 19.08
2024-11-13 10:13:16, 19.08
2024-11-13 10:13:16, 19.28
2024-11-13 10:13:16, 19.28
2024-11-13 10:13:17, 19.53
2024-11-13 10:13:17, 19.53
2024-11-13 10:13:17, 19.35
