时间, 温度
2024-12-13 18:22:51, 138.72
2024-12-13 18:22:51, 138.72
2024-12-13 18:22:51, 139.62
2024-12-13 18:22:51, 139.62
2024-12-13 18:22:51, 139.91
2024-12-13 18:22:51, 139.91
2024-12-13 18:22:51, 139.42
2024-12-13 18:22:51, 139.42
2024-12-13 18:22:51, 139.64
2024-12-13 18:22:51, 139.64
2024-12-13 18:22:52, 140.08
2024-12-13 18:22:52, 140.08
2024-12-13 18:22:52, 140.6
2024-12-13 18:22:52, 140.6
2024-12-13 18:22:52, 141.02
2024-12-13 18:22:52, 141.02
2024-12-13 18:22:52, 141.02
2024-12-13 18:22:52, 140.79
2024-12-13 18:22:52, 140.79
2024-12-13 18:22:52, 141.1
2024-12-13 18:22:52, 141.1
2024-12-13 18:22:52, 141.44
2024-12-13 18:22:52, 141.44
2024-12-13 18:22:52, 141.13
2024-12-13 18:22:52, 141.13
2024-12-13 18:22:52, 141.43
2024-12-13 18:22:52, 141.43
2024-12-13 18:22:52, 141.66
2024-12-13 18:22:52, 141.66
2024-12-13 18:22:52, 141.66
2024-12-13 18:22:52, 141.94
2024-12-13 18:22:52, 141.94
2024-12-13 18:22:52, 142.54
2024-12-13 18:22:52, 142.54
2024-12-13 18:22:52, 141.9
2024-12-13 18:22:52, 141.9
2024-12-13 18:22:52, 141.84
2024-12-13 18:22:52, 141.84
2024-12-13 18:22:52, 141.3
2024-12-13 18:22:52, 141.3
2024-12-13 18:22:52, 141.49
2024-12-13 18:22:52, 141.49
2024-12-13 18:22:52, 141.3
2024-12-13 18:22:52, 141.3
2024-12-13 18:22:52, 141.3
2024-12-13 18:22:52, 140.39
2024-12-13 18:22:53, 140.39
2024-12-13 18:22:53, 140.13
2024-12-13 18:22:53, 140.13
2024-12-13 18:22:53, 139.94
2024-12-13 18:22:53, 139.94
2024-12-13 18:22:53, 139.43
2024-12-13 18:22:53, 139.43
2024-12-13 18:22:53, 139.11
2024-12-13 18:22:53, 139.11
2024-12-13 18:22:53, 138.81
2024-12-13 18:22:53, 138.81
2024-12-13 18:22:53, 139.46
2024-12-13 18:22:53, 139.46
2024-12-13 18:22:53, 139.46
2024-12-13 18:22:53, 140.1
2024-12-13 18:22:53, 140.1
2024-12-13 18:22:53, 140.43
2024-12-13 18:22:53, 140.43
2024-12-13 18:22:53, 140.58
2024-12-13 18:22:53, 140.58
2024-12-13 18:22:53, 140.75
2024-12-13 18:22:53, 140.75
2024-12-13 18:22:53, 140.84
2024-12-13 18:22:53, 140.84
2024-12-13 18:22:53, 140.45
2024-12-13 18:22:53, 140.45
2024-12-13 18:22:53, 139.96
2024-12-13 18:22:53, 139.96
2024-12-13 18:22:53, 139.56
2024-12-13 18:22:53, 139.56
2024-12-13 18:22:53, 139.56
2024-12-13 18:22:53, 139.69
2024-12-13 18:22:53, 139.69
2024-12-13 18:22:53, 139.73
2024-12-13 18:22:53, 139.73
2024-12-13 18:22:53, 139.67
2024-12-13 18:22:53, 139.67
2024-12-13 18:22:53, 139.86
2024-12-13 18:22:54, 139.86
2024-12-13 18:22:54, 139.79
2024-12-13 18:22:54, 139.79
2024-12-13 18:22:54, 140.49
2024-12-13 18:22:54, 140.49
2024-12-13 18:22:54, 140.04
2024-12-13 18:22:54, 140.04
2024-12-13 18:22:54, 140.08
2024-12-13 18:22:54, 140.08
2024-12-13 18:22:54, 140.08
2024-12-13 18:22:54, 140.11
2024-12-13 18:22:54, 140.11
2024-12-13 18:22:54, 140.52
2024-12-13 18:22:54, 140.52
2024-12-13 18:22:54, 140.35
2024-12-13 18:22:54, 140.35
