时间, 温度
2024-10-30 14:49:09, 108.98
2024-10-30 14:49:09, 109.56
2024-10-30 14:49:09, 109.08
2024-10-30 14:49:09, 109.14
2024-10-30 14:49:09, 108.04
2024-10-30 14:49:09, 108.42
2024-10-30 14:49:09, 108.67
2024-10-30 14:49:09, 108.4
2024-10-30 14:49:09, 108.33
2024-10-30 14:49:09, 107.94
2024-10-30 14:49:09, 107.63
2024-10-30 14:49:09, 108.35
2024-10-30 14:49:09, 108.19
2024-10-30 14:49:09, 108.38
2024-10-30 14:49:09, 107.72
2024-10-30 14:49:09, 110.16
2024-10-30 14:49:10, 109.47
2024-10-30 14:49:10, 108.81
2024-10-30 14:49:10, 108.79
2024-10-30 14:49:10, 108.41
2024-10-30 14:49:10, 107.88
2024-10-30 14:49:10, 107.7
2024-10-30 14:49:10, 106.6
2024-10-30 14:49:10, 107.84
2024-10-30 14:49:10, 108.33
2024-10-30 14:49:10, 107.88
2024-10-30 14:49:10, 107.78
2024-10-30 14:49:10, 107.82
2024-10-30 14:49:10, 108.17
2024-10-30 14:49:10, 106.85
2024-10-30 14:49:10, 107.32
2024-10-30 14:49:10, 108.28
2024-10-30 14:49:10, 108.06
2024-10-30 14:49:10, 106.44
2024-10-30 14:49:11, 107.51
2024-10-30 14:49:11, 105.5
2024-10-30 14:49:11, 107.9
2024-10-30 14:49:11, 108.0
2024-10-30 14:49:11, 108.48
2024-10-30 14:49:11, 108.19
2024-10-30 14:49:11, 106.86
2024-10-30 14:49:11, 106.69
2024-10-30 14:49:11, 108.03
2024-10-30 14:49:11, 107.25
2024-10-30 14:49:11, 106.26
2024-10-30 14:49:11, 106.89
2024-10-30 14:49:11, 105.61
2024-10-30 14:49:11, 106.59
2024-10-30 14:49:11, 107.28
2024-10-30 14:49:11, 106.15
2024-10-30 14:49:11, 106.53
2024-10-30 14:49:12, 106.29
2024-10-30 14:49:12, 106.07
2024-10-30 14:49:12, 106.84
2024-10-30 14:49:12, 107.09
2024-10-30 14:49:12, 107.02
2024-10-30 14:49:12, 106.91
2024-10-30 14:49:12, 106.56
2024-10-30 14:49:12, 106.79
2024-10-30 14:49:12, 106.88
2024-10-30 14:49:12, 106.95
2024-10-30 14:49:12, 107.52
2024-10-30 14:49:12, 107.55
2024-10-30 14:49:12, 107.39
2024-10-30 14:49:12, 107.36
2024-10-30 14:49:12, 107.07
2024-10-30 14:49:12, 106.98
2024-10-30 14:49:12, 107.05
2024-10-30 14:49:12, 107.48
2024-10-30 14:49:13, 107.4
2024-10-30 14:49:13, 107.82
2024-10-30 14:49:13, 107.48
2024-10-30 14:49:13, 107.42
2024-10-30 14:49:13, 107.26
2024-10-30 14:49:13, 107.28
2024-10-30 14:49:13, 107.9
2024-10-30 14:49:13, 107.61
2024-10-30 14:49:13, 107.78
2024-10-30 14:49:13, 107.78
2024-10-30 14:49:13, 108.17
2024-10-30 14:49:13, 108.07
2024-10-30 14:49:13, 107.6
2024-10-30 14:49:13, 107.84
2024-10-30 14:49:13, 107.81
2024-10-30 14:49:13, 108.25
2024-10-30 14:49:13, 108.28
2024-10-30 14:49:14, 108.98
2024-10-30 14:49:14, 109.14
2024-10-30 14:49:14, 109.28
2024-10-30 14:49:14, 108.97
2024-10-30 14:49:14, 108.47
2024-10-30 14:49:14, 108.84
2024-10-30 14:49:14, 109.05
2024-10-30 14:49:14, 108.41
2024-10-30 14:49:14, 109.17
2024-10-30 14:49:14, 109.05
2024-10-30 14:49:14, 108.95
2024-10-30 14:49:14, 108.77
2024-10-30 14:49:14, 108.16
2024-10-30 14:49:14, 108.27
2024-10-30 14:49:14, 108.02
2024-10-30 14:49:14, 107.9
2024-10-30 14:49:14, 108.0
2024-10-30 14:49:14, 107.88
2024-10-30 14:49:15, 108.26
2024-10-30 14:49:15, 107.72
2024-10-30 14:49:15, 107.87
2024-10-30 14:49:15, 107.2
2024-10-30 14:49:15, 107.65
2024-10-30 14:49:15, 107.56
2024-10-30 14:49:15, 107.91
2024-10-30 14:49:15, 108.1
2024-10-30 14:49:15, 108.78
2024-10-30 14:49:15, 109.39
2024-10-30 14:49:15, 109.3
2024-10-30 14:49:15, 109.17
2024-10-30 14:49:15, 108.43
2024-10-30 14:49:15, 108.77
2024-10-30 14:49:15, 108.3
2024-10-30 14:49:15, 108.42
2024-10-30 14:49:15, 108.12
2024-10-30 14:49:16, 108.64
2024-10-30 14:49:16, 108.47
2024-10-30 14:49:16, 108.83
2024-10-30 14:49:16, 108.99
2024-10-30 14:49:16, 109.2
2024-10-30 14:49:16, 109.14
2024-10-30 14:49:16, 108.98
2024-10-30 14:49:16, 108.22
2024-10-30 14:49:16, 108.05
2024-10-30 14:49:16, 108.13
2024-10-30 14:49:16, 108.01
2024-10-30 14:49:16, 108.69
2024-10-30 14:49:16, 108.3
2024-10-30 14:49:16, 108.65
2024-10-30 14:49:16, 108.62
2024-10-30 14:49:16, 108.0
2024-10-30 14:49:16, 108.17
2024-10-30 14:49:17, 107.67
2024-10-30 14:49:17, 108.07
2024-10-30 14:49:17, 107.7
2024-10-30 14:49:17, 107.63
2024-10-30 14:49:17, 108.16
2024-10-30 14:49:17, 107.79
2024-10-30 14:49:17, 108.18
2024-10-30 14:49:17, 107.91
2024-10-30 14:49:17, 107.97
2024-10-30 14:49:17, 108.5
2024-10-30 14:49:17, 108.33
2024-10-30 14:49:17, 108.76
2024-10-30 14:49:17, 108.44
2024-10-30 14:49:17, 108.31
2024-10-30 14:49:17, 108.6
2024-10-30 14:49:17, 108.31
2024-10-30 14:49:17, 108.45
2024-10-30 14:49:17, 108.71
2024-10-30 14:49:18, 108.31
2024-10-30 14:49:18, 108.29
2024-10-30 14:49:18, 108.48
2024-10-30 14:49:18, 107.9
2024-10-30 14:49:18, 108.07
2024-10-30 14:49:18, 107.45
2024-10-30 14:49:18, 107.01
2024-10-30 14:49:18, 106.76
2024-10-30 14:49:18, 107.11
2024-10-30 14:49:18, 107.69
2024-10-30 14:49:18, 107.63
2024-10-30 14:49:18, 108.14
2024-10-30 14:49:18, 108.36
2024-10-30 14:49:18, 108.89
2024-10-30 14:49:18, 108.56
2024-10-30 14:49:18, 108.66
2024-10-30 14:49:18, 108.21
2024-10-30 14:49:19, 107.75
2024-10-30 14:49:19, 107.51
2024-10-30 14:49:19, 107.22
2024-10-30 14:49:19, 107.66
2024-10-30 14:49:19, 107.48
2024-10-30 14:49:19, 107.39
2024-10-30 14:49:19, 107.47
2024-10-30 14:49:19, 107.34
2024-10-30 14:49:19, 107.57
2024-10-30 14:49:19, 106.88
2024-10-30 14:49:19, 106.84
2024-10-30 14:49:19, 107.76
2024-10-30 14:49:19, 106.69
2024-10-30 14:49:19, 107.04
2024-10-30 14:49:19, 106.59
2024-10-30 14:49:19, 107.24
2024-10-30 14:49:19, 108.42
2024-10-30 14:49:19, 108.41
2024-10-30 14:49:20, 108.45
2024-10-30 14:49:20, 108.66
2024-10-30 14:49:20, 108.25
2024-10-30 14:49:20, 107.9
2024-10-30 14:49:20, 108.25
2024-10-30 14:49:20, 107.12
2024-10-30 14:49:20, 107.82
2024-10-30 14:49:20, 108.26
2024-10-30 14:49:20, 107.68
2024-10-30 14:49:20, 107.5
2024-10-30 14:49:20, 107.26
2024-10-30 14:49:20, 107.25
2024-10-30 14:49:20, 107.83
2024-10-30 14:49:20, 107.09
2024-10-30 14:49:20, 106.97
2024-10-30 14:49:20, 105.99
2024-10-30 14:49:20, 108.52
2024-10-30 14:49:21, 106.89
