时间, 温度
2025-03-10 10:44:59, 16.82
2025-03-10 10:44:59, 16.82
2025-03-10 10:44:59, 17.07
2025-03-10 10:44:59, 17.07
2025-03-10 10:44:59, 17.02
2025-03-10 10:44:59, 17.02
2025-03-10 10:44:59, 17.37
2025-03-10 10:44:59, 17.37
2025-03-10 10:44:59, 17.37
2025-03-10 10:44:59, 16.53
2025-03-10 10:44:59, 16.53
2025-03-10 10:44:59, 17.19
2025-03-10 10:44:59, 17.19
2025-03-10 10:44:59, 16.81
2025-03-10 10:44:59, 16.81
2025-03-10 10:44:59, 17.21
2025-03-10 10:44:59, 17.21
2025-03-10 10:44:59, 16.98
2025-03-10 10:44:59, 16.98
2025-03-10 10:44:59, 16.76
2025-03-10 10:44:59, 16.76
2025-03-10 10:44:59, 16.75
2025-03-10 10:44:59, 16.75
2025-03-10 10:44:59, 16.75
2025-03-10 10:44:59, 16.75
2025-03-10 10:44:59, 16.75
2025-03-10 10:44:59, 17.25
2025-03-10 10:44:59, 17.25
2025-03-10 10:44:59, 16.74
2025-03-10 10:44:59, 16.74
2025-03-10 10:44:59, 16.82
2025-03-10 10:44:59, 16.82
2025-03-10 10:45:00, 16.99
2025-03-10 10:45:00, 16.99
2025-03-10 10:45:00, 16.52
2025-03-10 10:45:00, 16.52
2025-03-10 10:45:00, 16.94
2025-03-10 10:45:00, 16.94
2025-03-10 10:45:00, 16.6
2025-03-10 10:45:00, 16.6
2025-03-10 10:45:00, 16.6
2025-03-10 10:45:00, 16.7
2025-03-10 10:45:00, 16.7
2025-03-10 10:45:00, 16.87
2025-03-10 10:45:00, 16.87
2025-03-10 10:45:00, 16.3
2025-03-10 10:45:00, 16.3
2025-03-10 10:45:00, 16.95
2025-03-10 10:45:00, 16.95
2025-03-10 10:45:00, 17.16
2025-03-10 10:45:00, 17.16
2025-03-10 10:45:00, 16.9
2025-03-10 10:45:00, 16.9
2025-03-10 10:45:00, 17.15
2025-03-10 10:45:00, 17.15
2025-03-10 10:45:00, 16.56
2025-03-10 10:45:00, 16.56
2025-03-10 10:45:00, 16.56
2025-03-10 10:45:00, 17.03
2025-03-10 10:45:00, 17.03
2025-03-10 10:45:00, 17.14
2025-03-10 10:45:00, 17.14
2025-03-10 10:45:00, 16.74
2025-03-10 10:45:00, 16.74
2025-03-10 10:45:00, 16.72
2025-03-10 10:45:00, 16.72
2025-03-10 10:45:00, 16.96
2025-03-10 10:45:00, 16.96
2025-03-10 10:45:00, 17.0
2025-03-10 10:45:00, 17.0
2025-03-10 10:45:01, 16.73
2025-03-10 10:45:01, 16.73
2025-03-10 10:45:01, 16.84
2025-03-10 10:45:01, 16.84
2025-03-10 10:45:01, 16.84
2025-03-10 10:45:01, 17.09
2025-03-10 10:45:01, 17.09
2025-03-10 10:45:01, 17.22
2025-03-10 10:45:01, 17.22
2025-03-10 10:45:01, 16.92
2025-03-10 10:45:01, 16.92
2025-03-10 10:45:01, 17.16
2025-03-10 10:45:01, 17.16
2025-03-10 10:45:01, 16.33
2025-03-10 10:45:01, 16.33
2025-03-10 10:45:01, 16.74
2025-03-10 10:45:01, 16.74
2025-03-10 10:45:01, 17.07
2025-03-10 10:45:01, 17.07
2025-03-10 10:45:01, 16.53
2025-03-10 10:45:01, 16.53
2025-03-10 10:45:01, 16.53
2025-03-10 10:45:01, 16.52
2025-03-10 10:45:01, 16.52
2025-03-10 10:45:01, 17.03
2025-03-10 10:45:01, 17.03
2025-03-10 10:45:01, 17.08
2025-03-10 10:45:01, 17.08
2025-03-10 10:45:01, 16.68
2025-03-10 10:45:01, 16.68
2025-03-10 10:45:01, 16.89
2025-03-10 10:45:01, 16.89
2025-03-10 10:45:01, 16.12
2025-03-10 10:45:01, 16.12
2025-03-10 10:45:01, 16.61
2025-03-10 10:45:01, 16.61
2025-03-10 10:45:02, 16.61
2025-03-10 10:45:02, 16.53
2025-03-10 10:45:02, 16.53
2025-03-10 10:45:02, 16.74
2025-03-10 10:45:02, 16.74
2025-03-10 10:45:02, 16.88
2025-03-10 10:45:02, 16.88
2025-03-10 10:45:02, 16.69
2025-03-10 10:45:02, 16.69
2025-03-10 10:45:02, 16.82
2025-03-10 10:45:02, 16.82
2025-03-10 10:45:02, 16.53
2025-03-10 10:45:02, 16.53
2025-03-10 10:45:02, 16.92
2025-03-10 10:45:02, 16.92
2025-03-10 10:45:02, 16.74
2025-03-10 10:45:02, 16.74
2025-03-10 10:45:02, 16.96
2025-03-10 10:45:02, 16.96
2025-03-10 10:45:02, 16.96
2025-03-10 10:45:02, 16.88
2025-03-10 10:45:02, 16.88
2025-03-10 10:45:02, 17.19
2025-03-10 10:45:02, 17.19
2025-03-10 10:45:02, 16.81
2025-03-10 10:45:02, 16.81
2025-03-10 10:45:02, 17.16
2025-03-10 10:45:02, 17.16
2025-03-10 10:45:02, 16.88
2025-03-10 10:45:02, 16.88
2025-03-10 10:45:02, 16.84
2025-03-10 10:45:02, 16.84
2025-03-10 10:45:02, 16.77
2025-03-10 10:45:02, 16.77
2025-03-10 10:45:02, 16.77
2025-03-10 10:45:02, 16.59
2025-03-10 10:45:03, 16.59
2025-03-10 10:45:03, 16.72
2025-03-10 10:45:03, 16.72
2025-03-10 10:45:03, 17.05
2025-03-10 10:45:03, 17.05
2025-03-10 10:45:03, 17.02
2025-03-10 10:45:03, 17.02
2025-03-10 10:45:03, 16.29
2025-03-10 10:45:03, 16.29
2025-03-10 10:45:03, 16.81
2025-03-10 10:45:03, 16.81
2025-03-10 10:45:03, 17.12
2025-03-10 10:45:03, 17.12
2025-03-10 10:45:03, 17.17
2025-03-10 10:45:03, 17.17
2025-03-10 10:45:03, 16.98
2025-03-10 10:45:03, 16.98
2025-03-10 10:45:03, 16.79
2025-03-10 10:45:03, 16.79
2025-03-10 10:45:03, 16.79
2025-03-10 10:45:03, 16.56
2025-03-10 10:45:03, 16.56
2025-03-10 10:45:03, 16.75
2025-03-10 10:45:03, 16.75
2025-03-10 10:45:03, 17.4
